l_linenumber,l_orderkey,l_productkey,l_sellerkey,l_quantity,l_originalprice,l_fulfillmentdate,l_discount,l_tax
4,77,165,50,1,58.34,2024-02-26,11.25,5.83
5,77,7,11,1,158.72,\N,39.43,15.87
1,78,91,42,10,145.63,2024-04-22,28.47,14.56
2,78,154,36,1,37.66,2024-04-21,10.8,3.77
3,78,126,36,4,10.61,\N,2.92,1.06
4,78,63,8,6,126.16,2024-04-22,42.81,12.62
5,78,173,19,5,41.82,2024-04-21,14.07,4.18
1,79,99,8,4,176.85,2024-03-25,40.93,17.68
2,79,36,29,10,167.21,\N,63.02,16.72
3,79,128,42,3,196.03,2024-03-08,94.83,19.6
4,79,90,19,1,15.81,\N,7.87,1.58
5,79,181,9,5,51.08,2024-04-20,3.05,5.11
1,80,143,43,10,135.54,2024-01-03,13.82,13.55
2,80,4,9,2,142.0,\N,6.25,14.2
3,80,61,38,5,97.11,\N,12.98,9.71
4,80,7,11,9,74.76,2023-12-29,9.0,7.48
5,80,64,5,9,143.7,2023-11-26,9.78,14.37
1,81,27,6,3,132.11,\N,31.37,13.21
2,81,15,15,1,121.26,2024-03-02,13.62,12.13
3,81,112,6,8,144.4,2023-12-25,42.48,14.44
4,81,122,15,5,188.24,\N,58.76,18.82
5,81,95,12,6,136.34,2023-11-06,5.98,13.63
1,82,131,12,1,166.09,2024-02-04,38.45,16.61
2,82,153,9,7,73.08,2024-02-26,28.03,7.31
3,82,4,25,9,19.81,\N,7.09,1.98
4,82,183,1,3,61.66,\N,8.19,6.17
5,82,160,2,8,20.15,2024-02-15,9.74,2.02
1,83,156,1,5,123.1,\N,53.83,12.31
2,83,36,29,5,123.77,\N,8.28,12.38
3,83,192,30,8,141.71,\N,67.56,14.17
4,83,92,19,5,41.03,\N,19.56,4.1
5,83,25,47,3,98.33,2024-04-13,10.57,9.83
1,84,73,47,8,108.19,\N,43.27,10.82
2,84,96,46,4,115.29,\N,12.62,11.53
3,84,44,34,3,51.85,\N,20.31,5.19
4,84,87,26,6,186.11,2024-02-28,91.65,18.61
5,84,47,12,5,58.04,2023-12-20,17.74,5.8
1,85,85,49,6,170.82,\N,62.59,17.08
2,85,106,48,6,170.63,2023-09-02,11.47,17.06
3,85,156,1,9,54.57,2023-10-17,27.15,5.46
4,85,32,31,10,54.93,2023-10-11,1.88,5.49
5,85,171,45,4,151.06,2024-02-16,27.49,15.11
1,86,82,19,4,55.13,\N,7.92,5.51
2,86,160,2,2,199.46,2024-04-17,77.78,19.95
3,86,114,43,4,14.03,2024-04-19,1.56,1.4
4,86,83,3,1,197.63,2024-04-11,67.77,19.76
5,86,122,32,7,60.36,\N,13.71,6.04
1,87,151,10,5,193.99,\N,68.7,19.4
2,87,92,13,1,133.08,\N,19.03,13.31
3,87,9,19,8,81.31,\N,40.02,8.13
4,87,136,15,7,56.57,2024-04-05,13.69,5.66
5,87,77,44,4,54.72,\N,13.21,5.47
1,88,52,7,8,128.1,\N,37.05,12.81
2,88,122,15,8,117.01,2024-04-02,54.81,11.7
3,88,77,27,9,162.31,\N,64.91,16.23
4,88,189,18,5,167.7,2024-02-14,19.09,16.77
5,88,90,19,6,193.18,2024-04-09,41.45,19.32
1,89,180,47,1,148.55,2024-04-21,6.2,14.86
2,89,88,9,10,134.86,\N,34.19,13.49
3,89,54,16,8,199.41,2024-04-23,61.46,19.94
4,89,181,50,4,103.13,2023-09-25,7.1,10.31
5,89,4,25,9,151.52,2023-11-13,13.52,15.15
1,90,37,26,3,152.21,2024-03-09,20.83,15.22
2,90,8,30,6,40.94,2024-04-21,15.91,4.09
3,90,77,48,7,176.2,\N,82.16,17.62
4,90,38,12,6,75.0,2024-03-16,15.93,7.5
5,90,56,44,1,147.67,2024-04-09,42.01,14.77
1,91,168,46,1,143.31,\N,8.55,14.33
2,91,183,12,2,86.26,2023-11-15,0.17,8.63
3,91,53,3,8,160.34,2023-12-16,4.93,16.03
4,91,183,12,10,8.48,2024-03-26,0.74,0.85
5,91,177,33,4,185.47,2024-04-08,92.53,18.55
1,92,122,15,4,103.91,\N,25.48,10.39
2,92,60,47,6,126.32,2024-04-15,34.09,12.63
3,92,52,32,5,187.8,\N,93.58,18.78
4,92,147,47,5,189.08,2024-01-16,0.45,18.91
5,92,90,34,9,199.61,2024-03-12,41.59,19.96
1,93,94,2,3,141.55,\N,27.47,14.16
2,93,128,42,8,82.42,\N,10.7,8.24
3,93,76,5,3,60.11,2024-01-28,17.2,6.01
4,93,151,5,5,51.69,2024-01-18,13.3,5.17
5,93,47,21,3,157.04,2024-04-06,65.88,15.7
1,94,125,44,3,165.2,2024-02-29,33.76,16.52
2,94,59,19,2,171.13,2024-04-12,19.57,17.11
3,94,129,34,10,157.48,\N,30.71,15.75
4,94,63,8,9,181.62,\N,79.82,18.16
5,94,79,5,6,75.0,\N,20.92,7.5
1,95,88,9,3,85.53,2024-02-08,2.7,8.55
2,95,190,31,4,95.78,2023-11-27,31.1,9.58
3,95,101,25,3,194.07,2023-07-08,40.84,19.41
4,95,173,1,5,167.66,\N,21.92,16.77
5,95,174,45,10,191.57,2024-03-18,5.31,19.16
1,96,77,44,3,168.34,2024-02-24,59.24,16.83
2,96,52,5,7,23.71,2023-12-17,1.79,2.37
3,96,172,17,3,11.15,2023-10-10,2.65,1.11
4,96,160,33,8,82.63,2023-09-17,24.12,8.26
5,96,102,19,7,96.82,2023-12-24,33.64,9.68
1,97,57,31,1,54.31,\N,23.24,5.43
2,97,165,21,6,93.89,\N,13.16,9.39
3,97,194,46,3,186.1,\N,5.57,18.61
4,97,87,24,4,131.27,\N,25.33,13.13
5,97,137,3,8,177.23,2024-03-30,21.63,17.72
1,98,93,27,5,10.3,2023-07-31,0.17,1.03
2,98,125,50,8,126.95,2024-04-23,60.54,12.7
3,98,142,30,9,125.24,2024-03-25,40.7,12.52
4,98,66,3,5,76.3,\N,8.61,7.63
5,98,61,14,5,70.32,2024-01-20,8.1,7.03
1,99,157,47,2,15.73,2023-10-15,4.11,1.57
2,99,77,20,4,126.15,2023-08-16,4.28,12.62
3,99,71,39,4,40.29,2023-06-14,11.23,4.03
4,99,142,30,8,56.31,\N,9.69,5.63
5,99,151,5,6,194.85,\N,40.37,19.48
1,100,21,28,1,12.06,2024-02-19,2.99,1.21
2,100,187,10,10,55.86,\N,4.94,5.59
3,100,117,44,6,101.17,2023-11-04,7.13,10.12
4,100,130,40,8,91.7,\N,28.93,9.17
5,100,148,49,6,190.36,2023-12-05,39.89,19.04
1,101,183,12,8,153.34,\N,48.4,15.33
2,101,130,40,1,131.41,\N,40.28,13.14
3,101,195,29,2,149.36,\N,50.16,14.94
4,101,145,44,10,189.03,2024-01-07,63.24,18.9
5,101,85,44,3,157.73,\N,52.13,15.77
1,102,190,46,2,160.06,\N,45.79,16.01
2,102,89,44,6,12.74,2024-03-17,0.97,1.27
3,102,168,46,8,49.69,\N,7.52,4.97
4,102,10,49,8,191.56,\N,90.18,19.16
